log10_conc_M,response
-11.817,1.3
-11.475,41.6
-11.108,84.4
-10.817,44.1
-10.517,95.0
-10.217,140.0
-9.6,300.0
-9.0,532.7
-8.4,789.7
-7.808,865.2
-7.217,973.6
-6.608,1064.2
-6.008,1059.2
