log10_conc_M,response
-11.817,0.0
-11.475,1.3
-11.108,6.3
-10.817,137.3
-10.517,76.8
-10.217,114.6
-9.6,270.0
-9.0,414.4
-8.4,774.6
-7.808,850.1
-7.217,953.4
-6.608,1051.6
-6.008,950.9
