log10_conc_M,response
-8.389,19.4
-8.076,25.8
-7.803,39.3
-7.490,54.0
-7.187,70.7
-6.904,85.5
-6.591,93.8
-6.258,95.2
-6.045,100.0
-5.652,97.9
-5.369,97.0
