log10_conc_M,response
-8.076,32.7
-7.803,50.8
-7.490,65.3
-7.187,79.2
-6.874,85.7
-6.540,90.0
-6.288,94.2
-5.955,95.0
-5.753,92.2
-5.399,100.0
