log10_conc_M,response
-8.742,1.9
-8.403,1.9
-8.087,1.9
-7.794,7.7
-7.478,16.1
-7.162,27.7
-6.834,61.6
-6.542,90.0
-6.296,101.3
-6.015,99.0
