log10_conc_M,response
-9.906,51.1
-9.661,127.8
-9.328,210.9
-9.006,325.9
-8.761,670.9
-8.383,1022.4
-7.828,1450.5
-7.539,1623.0
-7.206,1718.8
-6.306,1891.4
