log10_conc_M,response
-9.307,117.6
-9.005,228.8
-8.704,379.1
-8.391,620.9
-8.143,843.1
-7.810,1143.8
-7.497,1437.9
-7.196,1634.0
-6.603,1921.6
-6.301,1777.8
