log10_conc_M,response
-9.597,324.7
-9.242,402.6
-8.941,603.9
-8.672,665.6
-8.371,759.7
-8.113,808.4
-7.769,896.1
-7.199,941.6
-6.597,941.6
-6.285,948.1
