log10_conc_M,response
-9.301,0.0
-9.000,5.1
-8.699,11.9
-8.398,12.9
-8.097,37.5
-7.796,73.9
-7.495,87.5
-7.194,93.7
-6.893,94.5
-6.592,100.0
-6.291,100.0
