log10_conc_M,response
-9.301,0.0
-9.000,0.0
-8.699,12.2
-8.398,18.2
-8.097,48.8
-7.796,74.7
-7.495,90.2
-7.194,93.7
-6.893,94.7
-6.592,93.0
-6.291,95.5
