log10_conc_M,response
-9.000,0.0
-8.699,14.6
-8.398,30.4
-8.097,61.6
-7.796,91.5
-7.495,81.7
-7.194,96.5
-6.893,95.0
-6.592,88.5
-6.291,88.7
-5.990,94.0
-5.689,88.7
