log10_conc_M,response
-9.000,5.0
-8.699,4.0
-8.398,5.0
-8.097,15.6
-7.796,28.9
-7.495,49.4
-7.194,68.0
-6.893,84.3
-6.592,87.8
-6.291,95.4
-5.990,98.4
-5.689,94.4
