log10_conc_M,response
-9.301,0.0
-9.000,0.0
-8.699,14.0
-8.398,25.8
-8.097,50.1
-7.796,82.0
-7.495,98.7
-7.194,100.0
-6.893,95.0
-6.592,100.0
